,MKT,SMB,HML,MOM,rf,LARGE_ORDER_INFLOW,NORTHBOUND_DELTA,INST_SEAT_RATIO
2025-07-24,0.0,0.0,0.0,0.0,0.00015,0.0,0.0,0.35
2025-07-25,-0.004878048780487698,0.01664136698477442,-0.0013776439936033502,0.0,0.00015,-0.0026954177897573484,-0.021204188481675657,0.3493256911665543
2025-07-28,0.002450980392156854,-0.015848928272827967,0.006834701745092708,0.0,0.00015,-0.005398110661268607,-0.003983005841741605,0.3477497749774977
2025-07-29,0.004889975550122383,0.006424850866739995,-0.002857375922062977,0.0,0.00015,-0.008119079837618282,-0.01677316293929726,0.3452670723461799
2025-07-30,0.0,-0.00563784510359755,-0.0018772595550270443,0.0,0.00015,0.005434782608695343,0.018578352180936952,0.34837662337662334
2025-07-31,-0.019464720194647178,0.0020209227720904277,0.0017363630810104946,-0.0018867924528301883,0.00015,-0.008130081300813163,-0.05345744680851078,0.3452606635071088
2025-08-01,-0.004962779156327701,-0.0041784655816873295,0.0018211373633060246,-0.0016194331983805821,0.00015,0.0,0.009100937672366083,0.3459349593495934
2025-08-04,0.004987531172069959,-0.001218218739620136,-0.007735131482963675,0.0016238159675237007,0.00015,0.027210884353741527,0.050986842105263275,0.358289629504314
2025-08-05,0.007444168734491052,0.00582684660816718,0.004438809541455313,0.002717391304347805,0.00015,0.0026845637583892135,-0.0007953340402968023,0.3585624155024788
2025-08-06,0.0024630541871923928,-0.0010916476263009844,-0.005456406010616033,0.0024390243902439046,0.00015,0.002680965147452863,0.023076923076922995,0.35891410048622363
2025-08-07,0.0,0.0020430634549469806,0.0032328106335373086,0.0035374149659864076,0.00015,0.0026773761713521083,0.010971786833855801,0.35932286555446524
2025-08-08,-0.002457002457002644,-0.003003454473777367,0.00016225927944879537,0.004353741496598662,0.00015,0.00802139037433136,0.018672199170124415,0.3622430641356845
2025-08-11,0.0049261083743843415,-0.009105054644808763,-0.0010548224816392393,-0.0005369127516778649,0.00015,-0.02130492676431417,-0.022284836065573743,0.35134770889487876
2025-08-12,0.007352941176470562,-0.003230553932581981,-0.000930347413586996,-0.0016085790884718288,0.00015,-0.008075370121130465,0.003900156006240163,0.3474966300789525
2025-08-13,0.007299270072992581,0.0056910344954349545,0.00561736463916096,-0.001338688085676032,0.00015,0.00540540540540535,0.056016597510373245,0.3501797268152408
2025-08-14,-0.0024154589371979673,-0.009821805702217468,0.0031812928307084487,-0.0016042780748663167,0.00015,0.0,0.01124999999999976,0.35016849199663
