code,name,sector,beta,alpha
300750,标的_300750,tech,1.3,0.2832
601012,标的_601012,defensive,0.7,-0.0464
002415,标的_002415,growth,1.3,0.226
600276,标的_600276,bluechip,1.0,0.2471
300059,标的_300059,global,1.0,0.1028
002594,标的_002594,tech,1.3,0.3919
000021,标的_000021,defensive,0.7,0.0369
688525,标的_688525,growth,1.3,0.2427
300812,标的_300812,bluechip,1.0,-0.1433
300196,标的_300196,global,1.0,-0.0207
301308,标的_301308,tech,1.3,0.1441
001309,标的_001309,defensive,0.7,-0.3719
300475,标的_300475,growth,1.3,0.2891
603986,标的_603986,bluechip,1.0,0.1954
688110,标的_688110,global,1.0,0.4722
688766,标的_688766,tech,1.3,0.0262
300223,标的_300223,defensive,0.7,0.0655
001258,标的_001258,growth,1.3,0.0391
600030,标的_600030,bluechip,1.0,0.1589
601688,标的_601688,global,1.0,-0.2701
601066,标的_601066,tech,1.3,0.217
601211,标的_601211,defensive,0.7,0.4654
002230,标的_002230,growth,1.3,0.4277
688111,标的_688111,bluechip,1.0,0.3579
600570,标的_600570,global,1.0,0.1298
000725,标的_000725,tech,1.3,0.2228
601138,标的_601138,defensive,0.7,0.5592
000063,标的_000063,growth,1.3,0.4072
688981,标的_688981,bluechip,1.0,0.0377
603501,标的_603501,global,1.0,-0.0058
002371,标的_002371,tech,1.3,0.2521
688012,标的_688012,defensive,0.7,0.035
688008,标的_688008,growth,1.3,-0.014
688256,标的_688256,bluechip,1.0,-0.1156
688041,标的_688041,global,1.0,0.1469
300274,标的_300274,tech,1.3,0.216
600438,标的_600438,defensive,0.7,0.0157
002459,标的_002459,growth,1.3,-0.1225
300760,标的_300760,bluechip,1.0,-0.0956
300015,标的_300015,global,1.0,0.0655
600196,标的_600196,tech,1.3,-0.0566
603259,标的_603259,defensive,0.7,0.4315
300122,标的_300122,growth,1.3,0.0738
002352,标的_002352,bluechip,1.0,0.4502
510300,标的_510300,global,1.0,0.011
159915,标的_159915,tech,1.3,-0.0863
510050,标的_510050,defensive,0.7,0.1922
159919,标的_159919,growth,1.3,-0.4079
510500,标的_510500,bluechip,1.0,-0.2614
026487,标的_026487,global,1.0,0.3085
513100,标的_513100,tech,1.3,-0.1345
513500,标的_513500,defensive,0.7,0.5578
513520,标的_513520,growth,1.3,0.5793
513030,标的_513030,bluechip,1.0,-0.1093
159920,标的_159920,global,1.0,-0.0681
513180,标的_513180,tech,1.3,-0.1196
513050,标的_513050,defensive,0.7,0.1767
512880,标的_512880,growth,1.3,0.3954
512760,标的_512760,bluechip,1.0,0.2579
515030,标的_515030,global,1.0,0.2212
512690,标的_512690,tech,1.3,0.0464
512010,标的_512010,defensive,0.7,0.0027
512660,标的_512660,growth,1.3,0.559
518880,标的_518880,bluechip,1.0,-0.0146
513090,标的_513090,global,1.0,0.2027
603019,标的_603019,tech,1.3,-0.4459
000977,标的_000977,defensive,0.7,0.0986
300308,标的_300308,growth,1.3,-0.1057
300502,标的_300502,bluechip,1.0,-0.0551
300394,标的_300394,global,1.0,-0.1416
002475,标的_002475,tech,1.3,0.0275
002241,标的_002241,defensive,0.7,-0.0719
002384,标的_002384,growth,1.3,0.0928
300433,标的_300433,bluechip,1.0,0.014
300033,标的_300033,global,1.0,-0.0941
002236,标的_002236,tech,1.3,-0.0057
300418,标的_300418,defensive,0.7,0.2539
300002,标的_300002,growth,1.3,0.0779
600588,标的_600588,bluechip,1.0,-0.1222
688036,标的_688036,global,1.0,-0.0162
002409,标的_002409,tech,1.3,0.1172
600745,标的_600745,defensive,0.7,-0.3843
603893,标的_603893,growth,1.3,0.2895
688126,标的_688126,bluechip,1.0,0.0276
688396,标的_688396,global,1.0,-0.1813
688536,标的_688536,tech,1.3,0.1749
603160,标的_603160,defensive,0.7,0.3881
300124,标的_300124,growth,1.3,0.2015
002812,标的_002812,bluechip,1.0,0.4007
002709,标的_002709,global,1.0,-0.256
002466,标的_002466,tech,1.3,0.2165
002460,标的_002460,defensive,0.7,-0.2998
603799,标的_603799,growth,1.3,0.4593
601799,标的_601799,bluechip,1.0,0.0066
600660,标的_600660,global,1.0,-0.1604
601689,标的_601689,tech,1.3,0.2726
002050,标的_002050,defensive,0.7,0.1537
300660,标的_300660,growth,1.3,0.1185
688017,标的_688017,bluechip,1.0,-0.083
002747,标的_002747,global,1.0,0.3795
300097,标的_300097,tech,1.3,-0.2358
300161,标的_300161,defensive,0.7,-0.3511
688696,标的_688696,growth,1.3,0.0217
300347,标的_300347,bluechip,1.0,0.4732
688180,标的_688180,global,1.0,-0.2498
688235,标的_688235,tech,1.3,0.2434
600763,标的_600763,defensive,0.7,0.0819
002007,标的_002007,growth,1.3,0.1009
