,dxi_spot_price,korea_customs_yoy,lockin_cost_001309,lockin_cost_301308
2025-04-01,100.0,0.37012004152022837,115.0,110.0
2025-04-02,99.23638628982424,0.43364913411951145,115.0,110.0
2025-04-03,99.48492664740438,0.4393271610324781,115.0,110.0
2025-04-04,99.48352358373555,0.47480995936816583,115.0,110.0
2025-04-07,99.99698936170567,0.42323416437161704,115.0,110.0
2025-04-08,100.53199534780974,0.47557497876809307,115.0,110.0
2025-04-09,100.47789611802197,0.5467577020030114,115.0,110.0
2025-04-10,100.42154114866278,0.49077505112221315,115.0,110.0
2025-04-11,100.6672398377972,0.4475955746334614,115.0,110.0
2025-04-14,100.5179290665814,0.44084247644733526,115.0,110.0
2025-04-15,101.2426551406545,0.43216634329100645,115.0,110.0
2025-04-16,101.35948551972473,0.5090320456226073,115.0,110.0
2025-04-17,100.19030982467217,0.41863432770243486,115.0,110.0
2025-04-18,100.30311306423587,0.45226113544999913,115.0,110.0
2025-04-21,100.0831765120072,0.45255989509405425,115.0,110.0
2025-04-22,99.56710971465048,0.4249107903594234,115.0,110.0
2025-04-23,99.24977607453573,0.38137672260579497,115.0,110.0
2025-04-24,99.60181923440973,0.4661487251808834,115.0,110.0
2025-04-25,100.56229991012614,0.44694980140723084,115.0,110.0
2025-04-28,101.02145956479654,0.4750120234718285,115.0,110.0
2025-04-29,101.01817465594819,0.42331998467804166,115.0,110.0
2025-04-30,101.55150222798669,0.5110410649406524,115.0,110.0
2025-05-01,101.62305018136539,0.40616131093940777,115.0,110.0
2025-05-02,101.57498229105217,0.5356020142008946,115.0,110.0
2025-05-05,101.29343540000923,0.3626181745085869,115.0,110.0
2025-05-06,100.71007191586635,0.47173850322784455,115.0,110.0
2025-05-07,100.81585590896744,0.47377153412633116,115.0,110.0
2025-05-08,101.19797496602283,0.41022214660295586,115.0,110.0
2025-05-09,101.45267829222443,0.47121969689305065,115.0,110.0
2025-05-12,101.54603153249485,0.513975933488008,115.0,110.0
2025-05-13,101.37048583058609,0.3391590580322968,115.0,110.0
2025-05-14,101.98288834785639,0.47513724037454075,115.0,110.0
2025-05-15,101.6172124252434,0.3253364589834961,115.0,110.0
2025-05-16,102.31635302936387,0.4017167598238396,115.0,110.0
2025-05-19,102.11058613684922,0.5314583182450473,115.0,110.0
2025-05-20,102.03275987967906,0.4209108983303973,115.0,110.0
2025-05-21,101.5905574535723,0.3913060017795514,115.0,110.0
2025-05-22,101.64064050788035,0.4401031135507659,115.0,110.0
2025-05-23,102.44121934427906,0.5533953169081776,115.0,110.0
2025-05-26,103.01265085285368,0.35841588763969867,115.0,110.0
2025-05-27,103.82563808247752,0.3974345044180328,115.0,110.0
2025-05-28,104.40817391173296,0.5248715841589813,115.0,110.0
2025-05-29,104.1452376764765,0.5428851171768867,115.0,110.0
2025-05-30,104.28542277756385,0.44482843878548584,115.0,110.0
2025-06-02,104.19146206574302,0.38804736487366787,115.0,110.0
2025-06-03,105.19720917513932,0.554792175090458,115.0,110.0
2025-06-04,104.88330667478202,0.5297221195874598,115.0,110.0
2025-06-05,105.66662643896005,0.4839473493881117,115.0,110.0
2025-06-06,106.45540343337694,0.409379882553129,115.0,110.0
2025-06-09,107.74863442719479,0.44754853295809816,115.0,110.0
2025-06-10,107.85116447598158,0.4419819959477585,115.0,110.0
2025-06-11,108.55884184137335,0.4665425652307789,115.0,110.0
2025-06-12,110.12298577119697,0.5225500719065668,115.0,110.0
2025-06-13,110.11327200050721,0.4939708520568702,115.0,110.0
2025-06-16,109.59847029496744,0.3961311961507621,115.0,110.0
2025-06-17,108.89703458657493,0.518824822500977,115.0,110.0
2025-06-18,109.61178682262056,0.46565660700065775,115.0,110.0
2025-06-19,108.90854488728496,0.48435328979294584,115.0,110.0
2025-06-20,109.03252689050039,0.5233270429639302,115.0,110.0
2025-06-23,109.59803128029885,0.3944209875243224,115.0,110.0
2025-06-24,110.0282997455289,0.44820872106467685,115.0,110.0
2025-06-25,110.59243951997374,0.42342727243203926,115.0,110.0
2025-06-26,111.04713472570145,0.37160702873172724,115.0,110.0
2025-06-27,112.09034805121406,0.467335498880246,115.0,110.0
2025-06-30,111.89289172250827,0.5755778275792212,115.0,110.0
2025-07-01,111.84981567905476,0.3579961127747124,115.0,110.0
2025-07-02,111.7532560434108,0.4483859694475265,115.0,110.0
2025-07-03,112.55239900212214,0.4820271467537387,115.0,110.0
2025-07-04,113.39676630503845,0.4561539100828091,115.0,110.0
2025-07-07,113.99279406438195,0.444343597374213,115.0,110.0
2025-07-08,115.0093211958065,0.3850391818277088,115.0,110.0
2025-07-09,114.67692075690452,0.4616393371470082,115.0,110.0
2025-07-10,115.97691215579697,0.4121618011492037,115.0,110.0
2025-07-11,117.20814545137753,0.34050391475107233,115.0,110.0
2025-07-14,117.9908743379837,0.5097296110256866,115.0,110.0
2025-07-15,119.39602701669946,0.49791929099210214,115.0,110.0
2025-07-16,118.76524395144762,0.452583048842554,115.0,110.0
