date,type,title,source,url
2026-09-07,财经新闻,立新能源跌0.73%，成交额13.13亿元，近5日主力净流入2.10亿,新浪财经,https://finance.sina.com.cn/stock/aiassist/ggsp/2026-09-07/doc-iniqyvru9542073.shtml
2026-09-07,财经新闻,乘用车行业品牌影响力报告：“孤星探路”到“群雄领航”中国独立新能源品牌开启新时代,新浪财经,http://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/842016683292/index.phtml
2026-09-07,财经新闻,立新能源(001258.SZ)：20亿元中期票据获交易商协会注册，有效期2年,新浪财经,https://cj.sina.cn/articles/view/5182171545/134e1a99902002ja9i
2026-09-07,财经新闻,国家能源集团成立新能源公司,新浪财经,https://finance.sina.com.cn/roll/2026-09-03/doc-iniqpzpq4280524.shtml
2026-09-07,财经新闻,中国中煤成立新能源公司,新浪财经,https://finance.sina.com.cn/roll/2026-09-02/doc-iniqmshw7669697.shtml
2026-09-07,财经新闻,龙源电力等在海南成立新能源公司,新浪财经,https://finance.sina.com.cn/jjxw/2026-09-02/doc-iniqmfsy1395097.shtml
2026-09-07,财经新闻,两央企在内蒙古成立新能源公司,新浪财经,https://finance.sina.com.cn/stock/relnews/cn/2026-09-02/doc-iniqkzma1302243.shtml
2026-09-07,财经新闻,华电、隆基成立新能源公司,新浪财经,https://finance.sina.com.cn/roll/2026-09-01/doc-iniqipiu1598755.shtml
2026-09-07,财经新闻,中国中煤在塔什库尔干成立新能源公司，注册资本2.38亿,新浪财经,https://finance.sina.com.cn/jjxw/2026-09-01/doc-iniqihzy3603010.shtml
2026-09-07,财经新闻,华润新能源等成立新能源公司,新浪财经,https://finance.sina.com.cn/jjxw/2026-09-01/doc-iniqhwne3792863.shtml
2026-09-07,财经新闻,华润新能源、锡林浩特国资成立新能源公司,新浪财经,https://finance.sina.com.cn/jjxw/2026-09-01/doc-iniqhwne3785424.shtml
2026-09-07,财经新闻,隆基绿能、华电新能投资成立新能源公司,新浪财经,https://finance.sina.com.cn/jjxw/2026-09-01/doc-iniqhsee1608976.shtml
2026-09-07,财经新闻,佛塑科技成立新能源公司，含电子专用材料制造业务,新浪财经,https://finance.sina.com.cn/jjxw/2026-08-31/doc-iniqexup7946971.shtml
2026-09-07,财经新闻,中国核电在新疆若羌成立新能源公司,新浪财经,https://cj.sina.cn/articles/view/1426584470/5507f39602001sysm
2026-09-07,财经新闻,西部矿业等投资成立新能源公司,新浪财经,https://finance.sina.com.cn/jjxw/2026-08-27/doc-inipthnu0401776.shtml
2026-09-07,财经新闻,欢乐家控股子公司出资3000万元设立新能源全资子公司,新浪财经,https://cj.sina.cn/articles/view/1644983660/620c756c02001uub4
2026-09-07,财经新闻,A股半导体设备、电力股午后拉升，立新能源1分钟涨停，4400亿巨头涨超4%，CRO概念下挫,新浪财经,https://finance.sina.com.cn/wm/2026-08-26/doc-iniprqcv6159393.shtml
2026-09-07,财经新闻,电力板块拉升 立新能源午后涨停,新浪财经,https://finance.sina.com.cn/roll/2026-08-26/doc-iniprivs1066727.shtml
2026-09-07,财经新闻,绿色算力大会签约总投资额1361亿元！立新能源等多股涨停,新浪财经,https://finance.sina.com.cn/stock/relnews/cn/2026-08-26/doc-iniprqcv6124358.shtml
2026-09-07,财经新闻,绿电板块异动拉升 立新能源直线涨停,新浪财经,https://cj.sina.cn/articles/view/2868676035/aafc85c302001w34k
2026-09-07,财经新闻,电力板块持续走高 立新能源涨停,新浪财经,https://finance.sina.com.cn/jjxw/2026-08-26/doc-iniprivw2312339.shtml
2026-09-07,财经新闻,新能源发电板块短线拉升，立新能源涨停，协鑫能科、珈伟新能、金开新能、新能股份、浙江新能等纷纷走高。,新浪财经,https://finance.sina.com.cn/7x24/2026-08-26/doc-iniprivw2308657.shtml
2026-09-07,财经新闻,立新能源（001258）8月25日主力资金净流出，近5日震荡弱于大盘，估值处历史高位,新浪财经,https://finance.sina.com.cn/roll/2026-08-26/doc-iniprivw2299740.shtml
2026-09-07,财经新闻,蔚能电池在武汉成立新能源技术公司 注册资本2.53亿,新浪财经,https://finance.sina.com.cn/7x24/2026-08-25/doc-inippewq9732571.shtml
2026-09-07,财经新闻,科力远在天津成立新能源发展公司,新浪财经,https://finance.sina.com.cn/jjxw/2026-08-25/doc-inippewq9701012.shtml
2026-09-07,财经新闻,武汉蔚能电池成立新能源技术公司 含AI业务,新浪财经,https://finance.sina.com.cn/jjxw/2026-08-25/doc-inipnuia2400083.shtml
2026-09-07,财经新闻,中广核风电等在云南楚雄成立新能源公司，注册资本1亿元,新浪财经,https://finance.sina.com.cn/jjxw/2026-08-24/doc-inipkriy6273370.shtml
2026-09-07,财经新闻,1.55亿！国家能源集团与奇瑞汽车成立新能源公司,新浪财经,https://finance.sina.com.cn/roll/2026-08-21/doc-iniparan1331518.shtml
2026-09-07,财经新闻,立新能源全资子公司木垒新风风力发电有限公司法定代表人变更为杨宪文,新浪财经,https://finance.sina.com.cn/jjxw/2026-08-21/doc-inipaens1405848.shtml
2026-09-07,财经新闻,奇瑞、国家能源集团投资成立新能源公司,新浪财经,https://finance.sina.com.cn/jjxw/2026-08-20/doc-ininxzpp6739635.shtml
2026-09-07,财经新闻,宏德股份在南通成立新能源技术开发公司,新浪财经,https://finance.sina.com.cn/jjxw/2026-08-20/doc-ininxzpp6699071.shtml
2026-09-07,财经新闻,国家能源集团与奇瑞汽车成立新能源合资公司 注册资本1.55亿,新浪财经,https://cj.sina.cn/articles/view/1644983660/620c756c02001ujay
2026-09-07,财经新闻,国家能源集团、奇瑞汽车在砀山成立新能源公司，注册资本1.55亿,新浪财经,https://finance.sina.com.cn/jjxw/2026-08-20/doc-ininxqxq8065641.shtml
2026-08-28,公司公告,新疆立新能源股份有限公司 2026 年半年度报告摘要,巨潮资讯网,http://www.cninfo.com.cn
2026-08-15,机构研报,国泰君安：绿电消纳体制改革深化，立新能源装机容量高增与平价上网增厚业绩,国泰君安证券,https://data.eastmoney.com/report
2026-07-20,公司公告,关于哈密十三间房一期光伏发电及储能项目全容量并网发电的自愿性披露公告,巨潮资讯网,http://www.cninfo.com.cn
2026-06-10,公司公告,关于获得绿色电力证书交易及碳资产履约核发收益的自愿性公告,巨潮资讯网,http://www.cninfo.com.cn
2026-04-25,公司公告,立新能源 2025 年年度股东大会决议公告及分红派息实施方案,巨潮资讯网,http://www.cninfo.com.cn
