,MKT,SMB,HML,MOM,rf,LARGE_ORDER_INFLOW,NORTHBOUND_DELTA,INST_SEAT_RATIO
2025-07-24,0.0,0.0,0.0,0.0,0.00015,0.00945071229516849,0.009876388562924568,0.3100183437524876
2025-07-25,-0.004878048780487698,0.0016023068598369772,-0.005592649364917213,0.0,0.00015,-7.39645175677696e-05,0.016492681068586736,0.2835609501427555
2025-07-28,0.002450980392156854,-0.005708163701077629,-0.011683041218372214,0.0,0.00015,0.011715328071510387,-0.017538609431561658,0.30820604504368293
2025-07-29,0.004889975550122383,-0.01065391380990971,0.0073447895883594905,0.0,0.00015,0.024845447846120382,-0.00019050712123600162,0.3243450701460958
2025-07-30,0.0,0.01502014987588568,0.022788151775405774,0.0,0.00015,-0.0015123006208500396,-0.06382534680138145,0.27901304588952996
2025-07-31,-0.019464720194647178,0.019752965690276902,-0.00839789363403276,-0.006868131868131866,0.00015,-0.0015120543542377078,-0.019487752826685797,0.3263334058776623
2025-08-01,-0.004962779156327701,0.0023242878863187766,-0.0017538828390332162,-0.006077348066298361,0.00015,0.025688192232610874,-0.004051363027863206,0.3052553640688638
2025-08-04,0.004987531172069959,-0.0038699441875672536,-0.008365625831216694,-0.005241379310344829,0.00015,0.01351152093729363,-0.02395566363929699,0.3329334319956815
2025-08-05,0.007444168734491052,0.0029329371858719533,0.006998723583777733,-0.004419889502762442,0.00015,-0.0050421157890242815,0.03364822607863271,0.30923731490046574
2025-08-06,0.0024630541871923928,0.0013651078435196196,-0.0036094456030587585,0.0,0.00015,0.01013840065378947,-0.027602827559212652,0.29134880265086716
2025-08-07,0.0,0.0016945672427747804,0.001172522434757739,0.0005689900426742334,0.00015,-0.004951265392186934,-0.007800889733939676,0.29779799311095734
2025-08-08,-0.002457002457002644,0.006954094407242262,0.0034214262627608183,0.003988603988603989,0.00015,-0.004985946303553853,0.003614811545721827,0.3341669948232499
2025-08-11,0.0049261083743843415,0.01361238673012366,0.004884216913296324,0.008498583569405138,0.00015,0.005629434073490511,0.02982546578132231,0.3412059325585745
2025-08-12,0.007352941176470562,-0.003949458765309721,-0.0040076628352490595,0.005932203389830493,0.00015,-0.026699203669866965,-0.027717243023588786,0.32067682116128565
