code,m1_r2,m2_r2,m3_r2,m1_alpha,m3_alpha,delta_r2_m3_m1,m3_beta_pc5
300750,0.2900454359192942,0.32340634599486207,0.2903176875164488,0.0029056633467502346,0.002871343304974031,0.0002722515971546047,-0.34746107528667153
002594,0.23798996138425765,0.23994236547393688,0.23907561902208774,0.0024189181132599443,0.002352835310725328,0.0010856576378300842,-0.6690318670427855
688981,0.29681153777460334,0.2984785054912672,0.2970060289036277,0.0017115573351850352,0.0016831356401221236,0.0001944911290243656,-0.28774535859954053
002415,0.2525075408049513,0.25861259727476393,0.2527742435217083,-0.00015836407045500617,-0.0001251347644900573,0.00026670271675699464,0.336418307899944
002230,0.30740664637152637,0.3262655929032089,0.31093846131705094,0.0005780996678129243,0.0007048239177441775,0.0035318149455245695,1.2829746663077841
688111,0.29340073914775977,0.30919531812802126,0.2934014243553956,0.0009326667206557918,0.000930945526138849,6.852076358532244e-07,-0.017425622662061345
603986,0.30202246592115733,0.3068936528056956,0.30533032784307057,0.0012471604645246076,0.0011270754269391869,0.0033078619219132355,-1.2157583186257406
688525,0.3147997396362029,0.3212708494762241,0.31856590240475413,0.001281885205091135,0.0011407299341872831,0.00376616276855124,-1.4290764134301268
601138,0.2619234884077801,0.28137552839764357,0.26193021661115545,0.00035268209685400186,0.00034716402289144136,6.728203375327979e-06,-0.05586578026722467
000063,0.24656982918464876,0.26217085802453444,0.24992238307589942,0.0010487097398992863,0.000926416757499203,0.0033525538912506647,-1.2381118718195465
000725,0.2473240900115009,0.25758537483397725,0.25205911613710485,0.0011384766954796578,0.0009913319044779103,0.004735026125603947,-1.489715182671645
688012,0.2866012578693643,0.2974753753206447,0.29230834045798126,0.0021898059916948577,0.0020260200347956303,0.005707082588616963,-1.6581927572161723
002371,0.31094142083600007,0.3245517583325268,0.3197514052256396,0.0017024698145922995,0.0015082882024737524,0.008809984389639536,-1.9659227744265024
603501,0.2967482304131428,0.3001913481327845,0.29781783534856987,0.0008118364395199609,0.0008795426549283341,0.001069604935427071,0.6854675341733717
688008,0.32211627563383016,0.3701780803217798,0.32444038205201153,0.00030541521285965917,0.0002036315778200971,0.002324106418181371,-1.0304722677157998
300782,0.2685743382436777,0.29134872542598944,0.27608008030824294,0.0013348295473369239,0.001150979665984985,0.007505742064565224,-1.8613228352679145
