stock_code,trade_date,close,volume,turnover_rate,market_value,pe_ttm,pb,roe
000001,2024-01-02,7.733,115836645,0.00597,178728506603.58,,,0.105817
000001,2024-01-03,7.724,73361031,0.00378,178534447421.6,,,0.105817
000001,2024-01-04,7.649,86419399,0.00445,176787914783.78,,,0.105817
000001,2024-01-05,7.783,199162216,0.01026,179892861695.46,,,0.105817
000001,2024-01-08,7.682,112115619,0.00578,177564151511.7,,,0.105817
000001,2024-01-09,7.708,76619388,0.00395,178146329057.64,,,0.105817
000001,2024-01-10,7.632,85862091,0.00442,176399796419.82,,,0.105817
000001,2024-01-11,7.699,93468637,0.00482,177952269875.66,,,0.105817
000001,2024-01-12,7.716,77258215,0.00398,178340388239.62,,,0.105817
000001,2024-01-15,7.733,74513266,0.00384,178728506603.58,,,0.105817
000001,2024-01-16,7.842,143831258,0.00741,181251275969.32,,,0.105817
000001,2024-01-17,7.75,148229621,0.00764,179116624967.54,,,0.105817
000001,2024-01-18,7.724,175513247,0.00904,178534447421.6,,,0.105817
000001,2024-01-19,7.699,96398142,0.00497,177952269875.66,,,0.105817
000001,2024-01-22,7.64,158031966,0.00814,176593855601.8,,,0.105817
000001,2024-01-23,7.691,113554458,0.00585,177758210693.68,,,0.105817
000001,2024-01-24,7.834,175912316,0.00906,181057216787.34,,,0.105817
000001,2024-01-25,7.976,216251395,0.01114,184356222881.0,,,0.105817
000001,2024-01-26,8.077,227228706,0.01171,186684933064.76,,,0.105817
000001,2024-01-29,8.144,237625184,0.01224,188237406520.6,,,0.105817
000001,2024-01-30,7.976,157912214,0.00814,184356222881.0,,,0.105817
000001,2024-01-31,7.943,135721747,0.00699,183579986153.08,,,0.105817
000001,2024-02-01,7.901,105525987,0.00544,182609690243.18,,,0.105817
000001,2024-02-02,7.783,163421431,0.00842,179892861695.46,,,0.105817
000001,2024-02-05,7.876,180359190,0.00929,182027512697.24,,,0.105817
000001,2024-02-06,8.127,199540954,0.01028,187849288156.64,,,0.105817
000001,2024-02-07,8.069,206201497,0.01063,186490873882.78,,,0.105817
000001,2024-02-08,8.119,165681384,0.00854,187655228974.66,,,0.105817
000001,2024-02-19,8.237,160524265,0.00827,190372057522.38,,,0.105817
000001,2024-02-20,8.245,112356398,0.00579,190566116704.36,,,0.105817
000001,2024-02-21,9.068,505528460,0.02605,209583916538.4,,,0.105817
000001,2024-02-22,9.152,492232512,0.02537,211524508358.2,,,0.105817
000001,2024-02-23,9.11,356747950,0.01838,210554212448.3,,,0.105817
000001,2024-02-26,8.841,286260888,0.01475,204344318624.94,,,0.105817
000001,2024-02-27,8.816,198190492,0.01021,203762141079.0,,,0.105817
000001,2024-02-28,8.808,308269265,0.01589,203568081897.02,,,0.105817
000001,2024-02-29,8.891,184534423,0.00951,205508673716.82,,,0.105817
000001,2024-03-01,8.808,182810290,0.00942,203568081897.02,,,0.105817
000001,2024-03-04,8.673,165592954,0.00853,200463134985.34,,,0.105817
000001,2024-03-05,8.757,181731907,0.00936,202403726805.14,,,0.105817
000001,2024-03-06,8.673,134564016,0.00693,200463134985.34,,,0.105817
000001,2024-03-07,8.715,201616589,0.01039,201433430895.24,,,0.105817
000001,2024-03-08,8.715,111397428,0.00574,201433430895.24,,,0.105817
000001,2024-03-11,8.791,121067298,0.00624,203179963533.06,,,0.105817
000001,2024-03-12,8.866,164126237,0.00846,204926496170.88,,,0.105817
000001,2024-03-13,8.673,176803911,0.00911,200463134985.34,,,0.105817
000001,2024-03-14,8.589,140939973,0.00726,198522543165.54,,,0.105817
000001,2024-03-15,8.9,375020789,0.01933,205702732898.8,,,0.099287
000001,2024-03-18,8.849,167139651,0.00861,204538377806.92,,,0.099287
000001,2024-03-19,8.732,129321558,0.00666,201821549259.2,,,0.099287
000001,2024-03-20,8.774,87266316,0.0045,202791845169.1,,,0.099287
000001,2024-03-21,8.791,86446625,0.00445,203179963533.06,,,0.099287
000001,2024-03-22,8.698,102814174,0.0053,201045312531.28,,,0.099287
000001,2024-03-25,8.732,95320221,0.00491,201821549259.2,,,0.099287
000001,2024-03-26,8.9,174002146,0.00897,205702732898.8,,,0.099287
000001,2024-03-27,8.841,127413599,0.00657,204344318624.94,,,0.099287
000001,2024-03-28,8.808,130218892,0.00671,203568081897.02,,,0.099287
000001,2024-03-29,8.833,87275898,0.0045,204150259442.96,,,0.099287
000001,2024-04-01,8.933,119108796,0.00614,206478969626.72,4.363602,0.420431,0.099287
