,lambda_zero,lambda_MKT,lambda_SMB,lambda_HML,lambda_MOM
2024-01-03,0.002546511455401466,-0.0048708123155812135,9.033285250565964e-05,0.0023025704228605906,-0.02022608627629356
2024-01-04,-0.0032406328362519525,0.00890419968440951,0.014649210482030335,0.007363723484052693,0.0003274137453602102
2024-01-05,0.006133755517458368,0.009482112588671474,-0.016673820398727772,6.684875616732276e-05,-0.01362194101451086
2024-01-08,0.0015578419428810132,-0.0019895919130231087,0.0011463888565815094,0.002899364334356656,0.01434773539656097
2024-01-09,0.006912487866297595,-0.00917433310663231,-0.01221174850560795,-0.02102712381441491,0.02305811693330096
2024-01-10,-0.007893667598969723,0.02343711443423247,0.004714871067853342,-0.007535279043143122,0.003618212437024654
2024-01-11,0.0010430983263256485,0.0065585056445117895,0.011060455752350888,-0.001110356688126984,0.022620066123015592
2024-01-12,-0.0029336335327507616,-0.0021924496852348996,0.022261266024417296,-0.0031270835313412897,0.009434044835598076
2024-01-15,-0.0005443612012645009,0.002883352722828003,0.007271393469166429,0.002854447433496691,-0.00016781408672957455
2024-01-16,0.0036310427814200395,-0.007618339856171637,-0.011025795017918142,-0.002025653063905992,-0.009733818375457424
2024-01-17,-0.002012191259050159,0.00024832163469850526,-0.009962108487883283,-0.0020464968987059773,-0.009808925289447644
2024-01-18,-0.0020250456226702904,0.006365656191525585,-0.0010468000158867057,-0.00013174543571194217,0.005172425933248912
2024-01-19,0.008533078278990636,-0.024600790087715423,-0.009533891058436035,-0.009225205301027092,-0.012887554078645039
2024-01-22,-0.0023959371420861734,-0.011559399705296729,-0.0036415474403405507,-0.0031603992194500926,-0.003662183773261633
2024-01-23,-0.002413985341169503,-0.0002206444977179351,-0.007604961218029173,-0.003973677001380913,0.004518064518441176
2024-01-24,0.00017798429056873526,-0.008945986761717449,-0.0013088924863500634,-0.0061345415613444695,-0.01352849816995157
2024-01-25,0.00745460105645014,-0.002121741274054077,-0.0013974835457611335,-0.0072787382312921685,-0.003683083687532857
2024-01-26,0.003888627455770186,-0.011159219840886539,0.004142388646511383,-0.00044636360157515684,-0.00293683705466465
2024-01-29,0.0033858250633179614,-0.015555758920851884,0.0020824771811578944,0.006585959361283698,0.005918618548111757
2024-01-30,-0.0024036342490621225,0.015026488266192677,0.004943922080634549,0.0018429769064032655,-0.013361498218513896
2024-01-31,0.0052850004384546855,-0.004817482676412235,0.00034132038577966775,-0.002043367193579759,-0.018049105759007526
2024-02-01,0.003969671093074889,-0.002281576539307367,0.008746939786295496,-0.006793602773193837,-0.015283595073529888
2024-02-02,-0.001397333858683985,-0.011905497200298373,-0.00907789933932951,0.007984853648842286,-0.002185915411750997
2024-02-05,0.0015562022522181969,-0.0052272956922489785,0.0004356944293159308,-0.005477724709462041,0.005579216238295695
2024-02-06,0.0008520519959516338,-0.0007524276432270117,0.013441212701508928,0.001455180683679775,0.012495929094314524
2024-02-07,-0.003132918915322839,-0.00788900178505591,0.0037864171485522194,0.005917236862502235,0.0026947208465755816
2024-02-08,-0.0026497714393202776,0.0067886368836117565,-0.0020299005913682385,0.0039673943033502425,0.014013212966477381
2024-02-09,0.003267827945299942,-0.00810023177086952,-0.008212902547851716,0.005757982719311557,-0.0003605827980194946
2024-02-12,0.0050710948035838435,-0.006575948005674762,-0.007514775543554791,0.0031040996268377396,-0.032488808621246326
2024-02-13,4.3227761769917394e-05,-0.0059253300175034565,-0.006079526894884078,0.0036929119556374707,-0.009455152329937128
2024-02-14,-0.004841880456151389,0.022653769422323472,0.0058265446206898185,0.009567353706282998,0.002414872580047094
2024-02-15,0.004510627446799513,-0.0029222806910550697,-0.009457244736651303,0.0016618815465035525,-0.002662123155174728
2024-02-16,-0.004728872272019835,-0.0023604442948831125,-0.008491058299059745,-0.0026647467706787486,0.02303228394517089
2024-02-19,-0.0046301446525235,0.01357775099627443,0.005858886492094971,-0.0018909083526146963,-0.01128132319292984
2024-02-20,0.00040353017715813146,-0.011455985181818859,0.011356874435807789,0.013485509966278633,0.009201551991318358
2024-02-21,-0.00026766914334555234,0.0035095613205109273,-0.01656130564958461,-0.005755267228644291,-0.000541262568759021
2024-02-22,0.008146875178688614,-0.02532635387010464,-0.004284168572726901,-0.0020739738591027974,-0.019846847741994064
2024-02-23,0.0028705143190486558,-0.017604136004119898,0.0036814858852822377,-0.0020294994448933844,0.010851685964997429
2024-02-26,-0.0017738169075320112,0.004713602339156864,0.005182843477900267,-0.00781661174905604,-0.008024641755168802
2024-02-27,0.0007799187611621072,0.006788884262180052,0.0055801058831441925,0.00018984714993018842,0.010869136002574612
2024-02-28,0.006650687100273361,-0.004544363358991756,-0.010652005965462896,-0.010538854415733994,-0.001230361564713912
2024-02-29,-0.0069106345329675275,0.006453821213196042,-0.009336531653495773,0.0055542424616998355,-0.01175763570503111
2024-03-01,-0.004282100239686085,0.0014910602269063173,-0.006117755986200117,0.010091389939865282,0.01567010985630847
2024-03-04,0.0038407420774551667,-0.017232139058730386,0.01522962157946815,-0.003555016696549604,0.010088845941785912
2024-03-05,-0.0016440128170717026,-0.004732515218318389,0.018658584703610953,0.009997058651427505,-0.003245876047713543
2024-03-06,-0.009608996856650629,0.004923067858691754,-0.00586686306580021,0.0044886309560895,-0.01397672799202535
2024-03-07,0.00021865697822061802,0.011247494379310321,-0.003495715322760045,-0.0007349629510874514,0.010347794619220745
2024-03-08,0.004277708245049238,-0.001321178054109167,0.012160073188580861,0.014650577069499782,-0.03294051106344999
2024-03-11,0.0007116145847168281,-0.015398310144299748,-0.0036449255007355297,0.01608466525492769,-0.01328257868421916
2024-03-12,-0.0030456894823389555,0.00776615642810702,0.008636542736333443,0.004835737718089699,-0.002987439927401761
2024-03-13,-0.0015018859750109664,-0.0012249095376345464,-0.018509769298004394,-0.008532281572155725,0.004384724076794681
2024-03-14,-0.003324108298596859,-0.0031696172723922056,-0.003583810615406314,-0.004339282041026092,-0.005514608866812982
2024-03-15,7.031321578897741e-05,0.00426963156203823,0.007144138663849418,0.00011946343911438525,-0.008090382885069216
