code,name,student_group,sector,sub_industry,alpha_ann,alpha_daily,alpha_t_stat,alpha_p_value,ir_ann,beta_mkt,beta_smb,beta_hml,beta_mom,r_squared,resid_vol_ann,classification,n_obs
300750,宁德时代,同学A（科技与先进制造组）,tech,硬科技与半导体,0.711495021589853,0.002823392942816877,3.304726233329493,0.0009506921374274322,2.0550843301526416,1.3711733988901142,-0.08136269941753782,-0.02332316552940456,-0.038024801589364825,0.29004542051688054,0.3462120805217792,True Alpha (显著高信息比),693
002594,比亚迪,同学A（科技与先进制造组）,tech,硬科技与半导体,0.5913437603310294,0.002346602223535831,2.912794471277029,0.003582102824148978,1.7098315050926722,1.2052648287359535,0.13709669881566747,0.17739866025888315,-0.07162006597343927,0.23798994360309778,0.34584914277794815,True Alpha (显著高信息比),693
688981,中芯国际,同学A（科技与先进制造组）,tech,硬科技与半导体,0.41086424349637374,0.0016304136646681498,2.1239612223470843,0.033673386272233305,1.217020943348979,1.3523945086155276,-0.07968068368171721,0.12048017621681363,-0.2088364375253633,0.2968115218834654,0.3375983344754644,True Alpha (显著高信息比),693
002415,海康威视,同学A（科技与先进制造组）,tech,硬科技与半导体,-0.058953719310665405,-0.0002339433305978786,-0.2878102439545696,0.773491995471708,-0.1696429829347936,1.259654335715276,0.02668273258939285,0.10456672691128341,0.12442346517682591,0.25250752385864206,0.34751640351269764,Pure Beta (纯风格暴露),693
002230,科大讯飞,同学A（科技与先进制造组）,tech,硬科技与半导体,0.12373644225528688,0.0004910176279971702,0.6137107866136114,0.539406459188158,0.35296639170678995,1.4513673302633874,-0.11304231478079292,0.2116757993672236,0.06029287114980368,0.30740663207468144,0.35056154116246585,Pure Beta (纯风格暴露),693
688111,金山办公,同学A（科技与先进制造组）,tech,硬科技与半导体,0.21415050945398423,0.0008498036089443819,1.0424015324524032,0.2972255563118076,0.6202250676119175,1.381051861857631,-0.06598291460991808,-0.008896377344817706,0.011367469702753456,0.29340072380798865,0.3452787070966645,Pure Beta (纯风格暴露),693
603986,兆易创新,同学A（科技与先进制造组）,tech,硬科技与半导体,0.2929121739067474,0.0011623498964553468,1.5759401689117587,0.11503959251593786,0.8500356451195398,1.4135094678218398,0.03432311163436336,0.10515973930748745,0.14711668615207762,0.3020224508933912,0.3445881070852687,Pure Beta (纯风格暴露),693
688525,佰维存储,同学A（科技与先进制造组）,tech,硬科技与半导体,0.2993283338204119,0.0011878108484936981,1.2961724688990683,0.19491607232125174,0.7958425611447604,1.5679059432915325,-0.11232421869440398,0.10267479342686238,-0.27430641659028016,0.3147997274797796,0.3761150112276609,Pure Beta (纯风格暴露),693
601138,工业富联,同学A（科技与先进制造组）,tech,硬科技与半导体,0.06869473103144928,0.00027259813901368764,0.3028541241202039,0.7620010340217913,0.190270045771614,1.3347326306726757,-0.09194357267691276,0.007601929595104334,0.06184930722951395,0.26192347310011777,0.3610380748733583,Pure Beta (纯风格暴露),693
000063,中兴通讯,同学A（科技与先进制造组）,tech,硬科技与半导体,0.2449375645760689,0.0009719744626034481,1.0435851149601092,0.2966773825844893,0.6763256969506942,1.2789212882646988,-0.036249473919516766,-0.14404663062705234,-0.09786662978857476,0.24656981333209982,0.3621591870313416,Pure Beta (纯风格暴露),693
000725,京东方A,同学A（科技与先进制造组）,tech,硬科技与半导体,0.26712165048914543,0.0010600065495601008,1.204701286554801,0.22831863919285234,0.7288816693262145,1.3078357653267079,0.3856556948380354,0.10764312419541336,-0.04425808065014818,0.2473240745616595,0.36648150410487806,Pure Beta (纯风格暴露),693
688012,中微公司,同学A（科技与先进制造组）,tech,硬科技与半导体,0.5304815118958931,0.0021050853646662425,2.6638569756269015,0.007725039954530579,1.4664597554916987,1.4120104504777515,-0.09335574061290804,-0.15322856553637415,0.30926807126645417,0.2866012436239008,0.3617429731087469,True Alpha (显著高信息比),693
